name,normalizedName,tager,legacyDefaultTag,runtimeDefaultTag,bundleIdentifier,defaultNote-ZH
,avast-security,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,qnap-qfinder-pro,file-management|device-management,file-management|utilities,file-management|utilities|system-enhancement,null,NAS 管理工具
,uefitool,picture-photo,media|picture-photo|utilities,media|picture-photo,null,图片工具，适合浏览、编辑、转换或管理图片
,menial-base,database-tools,development|design,development,null,SQLite 3 数据库创建、设计和浏览工具
,imazing-profile-editor,device-management,utilities,utilities|system-enhancement,null,Apple 设备配置描述文件编辑器
,netflix,video,browser|entertainment,media|video,null,影音流媒体桌面客户端
,textexpander,Automation,utilities,productivity|system-enhancement,null,文本片段扩展工具
,k6-studio,Automation,utilities,productivity|system-enhancement,null,k6 测试脚本生成工具
,cleanmymac-x-chinese,system-maintenance,utilities,utilities|system-enhancement,null,磁盘垃圾清理工具中文版
,dadroit-json-viewer,ide,utilities,development,null,JSON 查看器
,threema,communication|security,communication|utilities|security,communication|security,null,端到端加密即时通讯工具，适合安全聊天
,airdroid,device-management,utilities,utilities|system-enhancement,null,移动设备管理套件
,signal-beta,communication|security,communication|utilities|security,communication|security,null,注重安全的即时通讯应用
,lunar-client,game,writing|entertainment|game,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,hovrly,ide,development|utilities|system-enhancement,development,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,brew-services-menubar,window-management|system-maintenance,utilities,utilities|system-enhancement,null,
,clamxav,security,utilities,security,null,安全工具，适合保护隐私、控制访问或加密数据
,container-ps,Automation|devops,development|media|picture-photo|utilities|system-enhancement,productivity|development|system-enhancement,null,容器和集群管理工具，适合本地开发、镜像和 Kubernetes 工作流
,nook,GTD,browser|design,productivity,null,专注式浏览器工作区，适合把网页资料按项目整理
,prettyclean,system-maintenance,utilities,utilities|system-enhancement,null,易用磁盘清理工具
,apptamer,system-maintenance,utilities,utilities|system-enhancement,null,CPU 资源管理工具
,thor,Automation,utilities,productivity|system-enhancement,null,应用快速切换工具
,livebook,writing,development|writing,writing,null,办公文档工具，适合阅读、编辑或管理文档资料
,adobe-creative-cloud-cleaner-tool,file-management,design|utilities,file-management|utilities,null,清理 Adobe 安装残留，修复 Creative Cloud 玄学问题
,fleet,ide,development|writing,development,null,编程开发工具，适合编写、阅读和维护代码
,fldigi,audio,development|media|audio,media|audio,null,开发相关工具，适合编程、调试或管理开发环境
,fathom,ai-tools|Meeting,communication|productivity|media|video,communication|productivity|ai-tools,null,AI 会议记录工具，自动生成纪要和行动项
,keycue,Automation|device-management,utilities|system-enhancement,productivity|utilities|system-enhancement,null,用于macOS的实用软件，它可以帮助用户更轻松地找到和使用键盘快捷键
,rode-central,device-management,utilities,utilities|system-enhancement,null,RØDE 设备配套应用
,tikzit,Font|ui-prototyping|3d-cad|diagramming,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,qtpass,security,utilities|security,security,null,账号安全工具，适合管理密码、验证码和通行密钥
,pdf-images,picture-photo|PDF,media|picture-photo,writing|media|picture-photo|utilities,null,
,gaphor,ui-prototyping|diagramming,utilities,design,null,设计工具，适合图形、界面或视觉创作
,activedock,window-management,productivity|utilities|system-enhancement,utilities|system-enhancement,null,Dock 替代工具，提供窗口预览和应用管理增强
,gpgfrontend,security|finance,utilities|finance|security,finance|security,null,GPG 图形界面，适合加密、签名和管理密钥
,fontgoggles,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,restic-browser,browser|security,browser|transfer|utilities,browser|security,null,设计工具，适合图形、界面、字体或建模相关工作
,mountmate,system-maintenance,utilities,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,stoplight-studio,writing,design|writing,writing,null,API 调试工具，适合测试接口、请求和开发流程
,mission-control-plus,window-management,utilities,utilities|system-enhancement,null,Mission Control 窗口管理工具
,sonobus,audio,media|audio|entertainment,media|audio,null,低延迟网络音频工具，远程合奏和实时传声很实用
,yubikey-manager,security,utilities|security,security,null,
,fx-cast-bridge,video,browser,media|video,null,媒体工具，适合处理图片、音频或视频内容
,izip,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,ibm-semeru-runtime-jdk-8-open-edition,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,oka-unarchiver,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,ios-app-signer,security,utilities,security,null,iOS 应用重签名和打包工具
,scrapp,picture-photo|transfer,file-management|transfer|media|picture-photo|utilities,transfer|media|picture-photo|utilities,null,适合截图、标注、识别文字或制作视觉反馈
,mousepose,device-management,development|utilities|system-enhancement,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,viz,video|picture-photo,media|video|picture-photo|utilities,media|video|picture-photo,null,轻量图像查看工具，适合快速翻看图片素材
,airtable,ide,productivity|development,development,null,沟通工具，适合聊天、邮件、通话或团队交流
,mochi-diffusion,ai-tools,development|ai-tools,ai-tools,null,开发相关工具，适合编程、调试或管理开发环境
,realm-studio,ai-tools|database-tools,development|utilities|ai-tools,development|ai-tools,null,Realm 数据库查看工具，适合调试移动端本地数据
,protopie,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,surge-xt,security,utilities|security,security,null,安全相关工具，适合隐私保护、访问控制或账号防护
,vibeproxy,ai-tools|Automation,development|utilities|system-enhancement|ai-tools,productivity|system-enhancement|ai-tools,null,AI 开发代理工具，适合把模型接进本地工作流
,serverbox,transfer|network-tools|devops,file-management|transfer|development|utilities|system-enhancement,transfer|development|utilities,null,带 SSH、SFTP 和容器管理的服务器监控工具
,wakatime,GTD,utilities,productivity,null,效率管理工具，适合安排任务、日程或跟踪时间
,systhist,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,focusrite-control-2,device-management,utilities,utilities|system-enhancement,null,
,memory-cleaner,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输或清理文件
,garmin-connect-iq-sdk,runtime-sdk,utilities,development,null,可穿戴设备应用开发工具
,paletro,diagramming,utilities,design,null,macOS 应用，提供快速访问当前使用应用菜单命令的功能
,sidekick,browser,browser|design,browser,null,工作流浏览器，适合把常用 SaaS 和网页应用放一起
,tabtab,transfer,utilities,transfer|utilities,null,专为Mac设计的强大窗口和标签页管理工具，旨在提升用户生产力
,dangerzone,PDF,productivity|writing,writing|utilities,null,把可疑文档转成安全 PDF，适合处理不可信附件
,canon-eos-utility,device-management,utilities,utilities|system-enhancement,null,沟通工具，适合聊天、邮件、通话或团队交流
,machoview,ide,browser|file-management|utilities,development,null,开发相关工具，适合编程、调试或管理开发环境
,webex-meetings,Meeting,communication|productivity|media|video,communication|productivity,null,Webex 会议客户端，适合企业远程会议和线上沟通
,weka,ai-tools|education,productivity|education,education|ai-tools,null,机器学习教学和实验工具，拖拽就能做数据挖掘
,ff-works,video,development|media|video,media|video,null,开发相关工具，适合编程、调试或管理开发环境
,vieb,browser,browser|development,browser,null,Vim 风格浏览器，键盘浏览和网页操作效率很高
,neat,ide,productivity|development|utilities|system-enhancement,development,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,cd-to,file-management,file-management|development|utilities,file-management|utilities,null,开发相关工具，适合编程、调试或管理开发环境
,phoenix,window-management|Automation,utilities,productivity|utilities|system-enhancement,null,可用 JavaScript 脚本化的窗口和应用管理器
,atext,Automation,utilities,productivity|system-enhancement,null,功能强大的文本工具，集文本模板、文本快捷方式、文本宏以及文本自动化于一身
,superkey,Automation,utilities,productivity|system-enhancement,null,屏幕文字搜索和点击工具
,lando,Automation|devops,development|utilities|system-enhancement,productivity|development|system-enhancement,null,容器和集群管理工具，适合本地开发、镜像和 Kubernetes 工作流
,xee3,picture-photo|file-management,browser|file-management|media|picture-photo|utilities,file-management|media|picture-photo|utilities,null,
,ibm-semeru-runtime-jdk-21-open-edition,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,aloha-browser,browser|security,browser|utilities|security,browser|security,null,安全工具，适合保护隐私、控制访问或加密数据
,cpu-info,device-management|system-maintenance,utilities,utilities|system-enhancement,null,设备硬件和软件信息查看工具
,beaver-notes,security|writing,writing|utilities|security,writing|security,null,适合写作、记录和处理文档
,ok-json,Automation,utilities,productivity|system-enhancement,null,可脚本化 JSON 格式化和编辑工具
,zipic,picture-photo,media|picture-photo|utilities,media|picture-photo,null,图片工具，适合浏览、编辑、转换或管理图片
,franz,communication,communication|productivity,communication,null,沟通工具，适合聊天、邮件、通话或团队交流
,inkstitch,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,pareto-security,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,comprehensive-kerbal-archive-network,file-management,utilities,file-management|utilities,null,
,hush,browser|security,browser|utilities|security,browser|security,null,安全工具，适合保护隐私、控制访问或加密数据
,lingon-x,system,system,utilities|system,null,强大的工具，允许用户完全控制系统中程序的自动启动
,structured-log-viewer,system-maintenance,utilities,utilities|system-enhancement,null,MSBuild 结构化日志查看器
,davmail,communication,communication|productivity,communication,null,把 Exchange 服务转成标准协议，方便老客户端接入
,pingplotter,network-tools,utilities|system-enhancement,utilities,null,网络监控工具
,disk-expert,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,文件管理工具，适合整理、传输、清理或备份文件
,yakit,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,oss-browser,browser|security,browser,browser|security,null,网页浏览器，适合日常上网和访问 Web 服务
,yippy,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,mediahuman-youtube-downloader,video|transfer,transfer|media|video|utilities|entertainment,transfer|media|video|utilities,null,传输工具，适合下载、同步或在设备间传文件
,meta,audio,development|media|audio,media|audio,null,专为macOS设计的智能音乐标签编辑器，旨在简化音频元数据的编辑过程
,dmenu-mac,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,wire,security,utilities|security,security,null,沟通工具，适合聊天、邮件、通话或团队交流
,freepdf,PDF|Notes,writing,productivity|writing|utilities,null,写作和笔记工具，适合记录、编辑和整理文本内容
,box-tools,file-management,browser,file-management|utilities,null,网页浏览器，适合日常上网和访问 Web 服务
,vivaldi-snapshot,browser,browser|communication,browser,null,网页浏览器，适合日常上网和访问 Web 服务
,freeze,transfer,file-management|transfer|utilities,transfer|utilities,null,传输工具，适合下载、同步或在设备间传文件
,scoot,ide,development|utilities|system-enhancement,development,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,vibe-notch,ai-tools|window-management|system-maintenance,development|utilities|system-enhancement|ai-tools,utilities|system-enhancement|ai-tools,null,把 Mac 刘海变成动态状态区，给桌面加一点趣味
,cad-assistant,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,usb-overdrive,device-management,utilities,utilities|system-enhancement,null,USB 和蓝牙设备驱动工具
,mindwtr,Notes,productivity,productivity|writing,null,效率工具，适合文档、记录或日常工作流
,wiso-steuer-2026,finance,utilities,finance,null,财务工具，适合记账、发票、资产或交易管理
,zspace,device-management,utilities,utilities|system-enhancement,null,NAS 客户端
,backuploupe,transfer,transfer|utilities|system,transfer|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,keyguard,security,utilities|security,security,null,安全相关工具，适合隐私保护、访问控制或账号防护
,nvidia-sync,transfer|Automation|devops,transfer|development|utilities,productivity|transfer|development|utilities|system-enhancement,null,容器和集群管理工具，适合本地开发、镜像和 Kubernetes 工作流
,qnap-qsync,transfer|device-management,transfer|utilities,transfer|utilities|system-enhancement,null,自动文件同步工具
,combine-pdfs,PDF,utilities,writing|utilities,null,办公文档工具，适合阅读、编辑或管理文档资料
,customshortcuts,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,timemachinestatus,system-maintenance,utilities|system|system-enhancement,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,kdrive,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,pikpak,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,1password-nightly,security,utilities|security,security,null,密码管理器
,expandrive,transfer,browser|file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,pastebot,Automation,productivity,productivity|system-enhancement,null,针对频繁使用复制粘贴功能的用户设计的提高工作效率的必备工具
,voov-meeting,Meeting,communication|productivity|media|video,communication|productivity,null,腾讯会议国际版，适合跨地区视频会议和协作
,psst,audio,media|audio|entertainment,media|audio,null,媒体工具，适合处理图片、音频或视频内容
,houdahspot,file-management,utilities,file-management|utilities,null,文件搜索工具
,diskspace,file-management|system-maintenance,utilities,file-management|utilities|system-enhancement,null,文件管理工具，适合整理、传输、清理或备份文件
,pdf-reader-pro,picture-photo|PDF,utilities,writing|media|picture-photo|utilities,null,办公文档工具，适合阅读、编辑或管理文档资料
,chromium-gost,browser|security,browser|finance,browser|security,null,带 GOST 加密支持的 Chromium，适合特定合规浏览需求
,hidock,window-management,development|utilities|system-enhancement,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,zappy,picture-photo|communication,communication|productivity|media|picture-photo,communication|media|picture-photo,null,视频工具，适合播放、录制、剪辑或转换视频
,easyeda,Font|ui-prototyping|3d-cad|diagramming,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,hive,ai-tools,development|ai-tools,ai-tools,null,跨项目并行编码 AI 智能体编排工具
,icanhazshortcut,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,keeweb,security,utilities|security,security,null,账号安全工具，适合管理密码、验证码和通行密钥
,unpkg,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,radio-silence,security,media|audio|utilities|system-enhancement|security,security,null,出站防火墙工具，阻止 App 悄悄联网
,streamlink-twitch-gui,video,browser|entertainment,media|video,null,媒体工具，适合处理图片、音频或视频内容
,anybar,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,bitwig-studio,audio,development|media|audio,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,the-time-machine-mechanic,system,system,utilities|system,null,Time Machine 日志和状态检查工具
,sonixd,audio,media|audio|entertainment,media|audio,null,Subsonic 音乐客户端，适合播放自建音乐库
,bitbar,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,appzapper,system-maintenance,utilities,utilities|system-enhancement,null,
,pastenow,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,Mac剪贴板管理工具，支持多设备数据同步和历史数据的重复使用
,tickeys,audio,media|audio|utilities,media|audio,null,给键盘输入加打字音效，让敲字更有仪式感
,reflex,audio,media|audio|entertainment,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,pdf-toolbox,PDF,utilities,writing|utilities,null,办公文档工具，适合阅读、编辑或管理文档资料
,tag-editor,audio,productivity|media|audio,media|audio,null,电子表格式音频标签编辑器
,multi-mc,game,productivity|writing|entertainment|game,entertainment|game,null,Minecraft 多实例启动器，模组管理更清楚
,jami,communication|transfer,file-management|transfer|utilities,communication|transfer|utilities,null,传输工具，适合下载、同步或在设备间传文件
,cmd,ai-tools,development|ai-tools,ai-tools,null,开发相关工具，适合编程、调试或管理开发环境
,telegram-a,communication|security,communication|utilities|security,communication|security,null,沟通工具，适合聊天、邮件、通话或团队交流
,sizeup,window-management,utilities,utilities|system-enhancement,null,窗口缩放和定位工具
,drata-agent,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,orka-desktop,picture-photo,media|picture-photo|utilities,media|picture-photo,null,虚拟化或远程连接工具，适合运行系统环境和访问远程电脑
,aquamacs,ide,development|writing,development,null,写作和笔记工具，适合记录、编辑和整理文本内容
,landrop,transfer,utilities,transfer|utilities,null,局域网跨设备文件传输工具
,sculptor,ai-tools,development|ai-tools,ai-tools,null,设计工具，适合图形、界面、字体或建模相关工作
,softmaker-freeoffice,office,productivity,productivity|writing,null,办公套件，适合处理文档、表格和演示稿
,silicon,system-maintenance,utilities,utilities|system-enhancement,null,Intel-only 应用识别工具
,simplemind,Notes,productivity,productivity|writing,null,效率工具，适合文档、记录或日常工作流
,murus-firewall,security,utilities|security,security,null,防火墙工具
,abbyy-finereader-pdf,picture-photo|PDF,writing,writing|media|picture-photo|utilities,null,写作和笔记工具，适合记录、编辑和整理文本内容
,gamemaker,game,development|entertainment|game,entertainment|game,null,2D 游戏制作工具，适合快速做原型和发布小游戏
,advanced-renamer,file-management,utilities,file-management|utilities,null,批量文件重命名工具
,ibm-semeru-runtime-jdk-17-open-edition,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,bluej,Font|ui-prototyping|3d-cad|ide,development|design,development|design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,calendar-366-ii,communication|GTD,communication|productivity|utilities|system-enhancement,communication|productivity,null,菜单栏日历和日程工具，适合快速查看安排
,sony-imaging-edge-desktop,picture-photo,browser|media|picture-photo,media|picture-photo,null,
,osxfuse,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,neofinder,file-management,file-management|development|utilities,file-management|utilities,null,开发相关工具，适合编程、调试或管理开发环境
,gpodder,audio,media|audio|entertainment,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,eez-studio,Automation,productivity|development|utilities|system-enhancement,productivity|system-enhancement,null,效率增强工具，适合快速启动、自动化或管理常用操作
,name-mangler,file-management,utilities,file-management|utilities,null,批量文件重命名工具
,assinador-serpro,writing,development|writing,writing,null,安全工具，适合保护隐私、控制访问或加密数据
,defold,game,development|entertainment|game,entertainment|game,null,轻量游戏引擎，适合跨平台 2D 游戏开发
,fido2-1-security-key-management-tool,security,utilities|security,security,null,
,propresenter,office,productivity,productivity|writing,null,跨平台（Mac和Windows）的演示软件和现场活动制作应用程序
,anypoint-studio,terminal-tools|ide|runtime-sdk,development|design,development,null,用于设计和测试 Mule 应用的 Eclipse IDE
,epic-privacy-browser,browser|security,browser|utilities|security,browser|security,null,网页浏览器，适合日常上网和访问 Web 服务
,wifi-explorer-pro,network-tools,utilities|system-enhancement,utilities,null,
,exifrenamer,file-management|picture-photo,development|media|video|audio|picture-photo,file-management|media|picture-photo|utilities,null,按 EXIF 信息批量重命名照片和视频，整理素材更快
,paranoia-file-and-text-encryption,security|finance,utilities|finance|security,finance|security,null,文件和文本加密工具，适合临时保护敏感内容
,protokol,audio,media|audio|utilities|system-enhancement,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,shureplus-motiv,device-management,utilities,utilities|system-enhancement,null,Shure MV7 和 MV88+ 麦克风控制工具
,autodesk-eagle,3d-cad,productivity|file-management|design|utilities|system-enhancement,design,null,电路设计工具，适合画原理图和 PCB
,hp-easy-admin,transfer|device-management,transfer|utilities,transfer|utilities|system-enhancement,null,传输工具，适合下载、同步或共享文件
,xprocheck,security,utilities,security,null,安全工具，适合保护隐私、控制访问或加密数据
,rockbox-utility,audio,development|media|audio|utilities,media|audio,null,
,dungeon-crawl-stone-soup,game,media|picture-photo|system|entertainment|game,entertainment|game,null,硬核 Roguelike 地牢游戏，适合喜欢策略探索的人
,solvespace,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,profind,file-management,utilities,file-management|utilities,null,文件搜索应用
,tresorit,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,yggdrasil,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,jbrowse,education,browser,education,null,学习工具，适合教育、参考或知识整理
,macwinzipper,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,pokemon-trading-card-game-live,game,entertainment|game|finance,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,spline,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,mcedit-unified,game,writing|entertainment|game,entertainment|game,null,游戏，适合休闲娱乐和沉浸式体验
,presentify,communication|office,communication|productivity|development,communication|productivity|writing,null,开发相关工具，适合编程、调试或管理开发环境
,script-kit,Automation,utilities,productivity|system-enhancement,null,脚本创建和运行工具
,xmenu,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,glkvm,device-management,utilities,utilities|system-enhancement,null,GL.iNet KVM 设备控制工具
,sherlock,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,melodics,education,utilities,education,null,学习工具，适合教育、参考或知识整理
,ibm-semeru-runtime-jdk-25-open-edition,runtime-sdk,utilities,development,null,Java JDK/运行时组件，适合开发或运行 Java 应用
,loupdeck,system,system,utilities|system,null,
,aide,ai-tools,development|ai-tools,ai-tools,null,
,sigdigger,communication,communication|development,communication,null,开发相关工具，适合编程、调试或管理开发环境
,tartelet,devops,development|utilities,development,null,虚拟化或远程连接工具，适合运行系统环境和访问远程电脑
,silhouette-studio,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,charmstone,Automation,productivity,productivity|system-enhancement,null,小而强大的生产力工具，能够显著提升用户的工作效率
,label-live,diagramming,design|utilities,design,null,标签设计和打印工具，适合电商、仓储和物流贴纸
,diskcatalogmaker,system-maintenance,utilities,utilities|system-enhancement,null,磁盘管理工具
,sejda-pdf-desktop,PDF,utilities,writing|utilities,null,PDF 编辑器
,spacelauncher,Automation,productivity,productivity|system-enhancement,null,效率工具，适合文档、记录或日常工作流
,mutedeck,Meeting,communication|productivity|media|video,communication|productivity,null,菜单栏会议控制器，静音和摄像头状态一眼可见
,gotomeeting,Meeting,communication|productivity|media|video,communication|productivity,null,在线会议工具，适合远程沟通和商务演示
,fastscripts,Automation,utilities,productivity|system-enhancement,null,快捷脚本运行工具
,visual,education,utilities,education,null,学习工具，适合查词、学习、参考或教育场景
,flykey,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,canon-ufr-ii-ufrii-lt-lipslx-carps2-printer-driver,picture-photo|device-management,productivity|media|picture-photo|utilities,media|picture-photo|utilities|system-enhancement,null,佳能打印驱动包，保证办公打印机在 Mac 上正常工作
,dante-controller,device-management,utilities,utilities|system-enhancement,null,
,birdfont,Font,utilities,design|utilities,null,字体编辑工具，适合设计、修改和检查字体
,gpg-suite-pinentry,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,eset-cyber-security,communication|security,communication|utilities|security,communication|security,null,邮件客户端，适合集中收发和管理邮箱
,ringcentral,Meeting,communication|productivity|media|video,communication|productivity,null,企业通信平台，电话、消息和视频会议集中处理
,radar,system-maintenance,utilities,utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,rode-connect,audio,media|audio|entertainment,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,commandpost,video,productivity|media|video,media|video,null,效率增强工具，适合快速启动、自动化或管理常用操作
,digital,devops,development|design,development,null,沟通工具，适合聊天、邮件、通话或团队交流
,atlauncher,game,productivity|writing|entertainment|game,entertainment|game,null,Minecraft 启动器，管理整合包、模组和多个实例
,plasticity,Font|ui-prototyping|3d-cad,design,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,freeshow,office,productivity,productivity|writing,null,演示工具，适合制作展示内容或现场演示
,riverside-studio,video|audio,media|video|audio|entertainment,media|video|audio,null,远程录音录像工具，适合播客、访谈和视频节目
,get-iplayer-automator,transfer,transfer|utilities|system,transfer|utilities,null,传输工具，适合下载、同步或共享文件
,nitro-pdf-pro,PDF,utilities,writing|utilities,null,允许用户轻松编辑PDF文件
,typeface,Font,utilities,design|utilities,null,适合管理字体、预览字形和整理设计字库
,opera-developer,browser,browser|development,browser,null,网页调试和浏览工具，适合开发者检查页面细节
,rightfont,picture-photo|transfer|Font,transfer|media|picture-photo|utilities,transfer|design|media|picture-photo|utilities,null,字体管理工具，设计时找字、启用字都更快
,shell360,transfer|terminal-tools,file-management|transfer|development|utilities,transfer|development|utilities,null,传输工具，适合下载、同步或在设备间传文件
,glyphs,Font,utilities,design|utilities,null,字体编辑工具，适合设计、修改和检查字体
,crypter,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,pdf-converter-master,PDF|Notes,writing,productivity|writing|utilities,null,写作和笔记工具，适合记录、编辑和整理文本内容
,font-smoothing-adjuster,Font|ui-prototyping|3d-cad,utilities,design|utilities,null,设计工具，适合图形、界面、字体或建模相关工作
,novabench,system-maintenance,utilities,utilities|system-enhancement,null,电脑性能快速基准测试工具
,jottacloud,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,sipgate,communication,file-management|transfer|media|picture-photo|utilities,communication,null,VoIP 电话服务客户端，适合网络电话和商务通信
,plex-htpc,video,media|video|entertainment,media|video,null,视频工具，适合播放、录制、剪辑或转换视频
,notesollama,ai-tools|writing,development|writing|ai-tools,writing|ai-tools,null,写作和笔记工具，适合记录、编辑和整理文本内容
,accessmenubarapps,Automation|window-management,utilities,productivity|utilities|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,wiso-steuer-2025,finance,utilities,finance,null,财务工具，适合记账、发票、资产或交易管理
,egnyte,transfer,file-management|transfer|utilities,transfer|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,pdfpen,PDF,utilities,writing|utilities,null,办公文档工具，适合阅读、编辑或管理文档资料
,pitch,office,productivity,productivity|writing,null,办公文档工具，适合阅读、编辑或管理文档资料
,cadreader,picture-photo|3d-cad,media|picture-photo,design|media|picture-photo,null,图片工具，适合浏览、编辑、转换或管理图片
,gimp-development-version,picture-photo,development|media|picture-photo,media|picture-photo,null,免费开源图像编辑器
,roam,Notes,productivity,productivity|writing,null,效率工具，适合文档、记录或日常工作流
,termius-beta,network-tools|terminal-tools,utilities,development|utilities,null,终端或 SSH 客户端
,pia,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,soundanchor,audio,media|audio|utilities,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,versatility,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,kui,terminal-tools,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,logdna-cli,terminal-tools|devops,utilities,development,null,开发者工具，适合命令行、构建、调试或工程管理
,swiftplantumlapp,diagramming|runtime-sdk,file-management|transfer|development|design|utilities,development|design,null,适合画流程图、结构图或头脑风暴草图
,guitar-pro,audio,media|audio|utilities|system-enhancement,media|audio,null,音频工具，适合播放、制作、编辑或管理声音内容
,archiver,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,boostnote-next,writing,development|writing,writing,null,
,keysmith,Automation,utilities|system-enhancement,productivity|system-enhancement,null,系统增强工具，适合优化窗口、菜单栏、输入或设备状态
,skint,security,utilities|security,security,null,安全工具，适合保护隐私、控制访问或加密数据
,pxplay,system,system,utilities|system,null,PlayStation 主机第三方远程游玩客户端
,db-browser-for-sqlcipher-nightly,database-tools,browser|development,development,null,SQLCipher 数据库浏览器，适合查看加密 SQLite 数据
